Date,Year,State,Age,Gender,Race,Armed,Threat Level,Flee,Longitude,Latitude
2015-04-04,2015,NM,34.0,Male,White,gun,Attack,Car,-106.193,35.056
2015-04-04,2015,SC,50.0,Male,Black,unarmed,Other,Foot,-80.014,32.899
2015-04-05,2015,AZ,51.0,Male,White,knife,Other,Not fleeing,-112.144,33.655
2015-04-05,2015,CA,56.0,Male,White,gun,Attack,Not fleeing,-118.414,35.127
2015-04-06,2015,IN,23.0,Male,White,gun,Attack,Not fleeing,-86.273,39.681
2015-04-06,2015,LA,25.0,Male,Black,gun,Attack,Foot,-90.048,29.877
2015-04-06,2015,ID,31.0,Male,White,gun,Attack,Car,-112.049,43.642
2015-04-07,2015,OK,32.0,Male,White,gun,Attack,Car,-97.057,35.339
2015-04-08,2015,TX,60.0,Male,White,gun,Attack,Car,-98.427,29.489
2015-04-08,2015,CA,39.0,Male,Hispanic,gun,Attack,Foot,-118.212,34.041
2015-04-08,2015,CA,28.0,Male,Asian,knife,Other,Not fleeing,-121.995,37.404
2015-04-09,2015,FL,22.0,Male,White,sword,Attack,Not fleeing,-86.835,30.413
2015-04-09,2015,IN,29.0,Male,Black,gun,Attack,Car,-86.879,40.879
2015-04-09,2015,PA,31.0,Male,White,gun,Attack,Not fleeing,-77.158,39.859
2015-04-09,2015,SC,28.0,Male,White,gun,Attack,Not fleeing,-82.006,35.023
2015-04-10,2015,CA,21.0,Male,Hispanic,knife,Attack,Not fleeing,-122.202,39.935
2015-04-10,2015,KS,38.0,Male,White,gun,Attack,Car,-95.762,39.054
2015-04-11,2015,OK,66.0,Male,White,gun,Attack,Not fleeing,-96.134,36.092
2015-04-12,2015,IN,36.0,Male,Black,gun,Attack,Foot,-86.109,39.813
2015-04-12,2015,OK,83.0,Male,White,machete,Other,Not fleeing,-97.34,35.404
2015-04-12,2015,NC,32.0,Male,White,gun,Attack,Car,-78.491,35.064
2015-04-13,2015,IL,27.0,Male,Hispanic,gun,Attack,Not fleeing,-90.135,38.892
2015-04-14,2015,TX,26.0,Male,Black,undetermined,Other,Foot,-96.823,32.662
2015-04-14,2015,AR,31.0,Male,White,machete,Attack,Not fleeing,-90.718,35.834
2015-04-15,2015,FL,22.0,Male,Black,gun,Other,Foot,-80.212,25.844
2015-04-15,2015,SC,41.0,Male,Black,knife,Attack,Not fleeing,-81.912,34.904
2015-04-15,2015,TX,41.0,Male,Black,unarmed,Other,Car,-95.173,29.806
2015-04-15,2015,MO,51.0,Male,White,toy weapon,Attack,Car,-92.326,38.948
2015-04-15,2015,CO,72.0,Male,White,gun,Attack,Not fleeing,-105.192,38.446
2015-04-15,2015,CA,52.0,Male,Hispanic,toy weapon,Attack,Not fleeing,-117.721,34.051
2015-04-16,2015,CA,47.0,Male,Hispanic,knife,Other,Not fleeing,-119.281,35.5
2015-04-17,2015,IL,18.0,Male,Black,gun,Attack,Foot,-87.572,41.761
2015-04-17,2015,CA,29.0,Male,Hispanic,gun,Attack,Not fleeing,-116.954,33.744
2015-04-17,2015,MO,23.0,Male,Black,knife,Other,Not fleeing,-90.244,38.724
2015-04-18,2015,AZ,43.0,Male,Hispanic,gun,Attack,Not fleeing,-112.039,33.48
2015-04-18,2015,FL,45.0,Male,White,gun,Attack,Not fleeing,-85.702,30.171
2015-04-19,2015,KY,40.0,Male,White,gun,Attack,Not fleeing,-84.66,37.868
2015-04-19,2015,NE,44.0,Male,White,knife,Attack,Not fleeing,-102.983,41.122
2015-04-20,2015,TX,25.0,Male,Hispanic,gun,Other,Not fleeing,-98.35,26.282
2015-04-21,2015,WA,37.0,Male,Native,unarmed,Other,Foot,-122.485,47.16
2015-04-21,2015,SC,59.0,Male,White,knife,Other,Not fleeing,-81.2,34.073
2015-04-21,2015,CA,35.0,Male,Hispanic,knife,Other,Not fleeing,-118.205,34.072
2015-04-22,2015,VA,18.0,Male,Black,unarmed,Other,Not fleeing,-76.34,36.83
2015-04-22,2015,AZ,51.0,Male,Hispanic,knife,Other,Not fleeing,-109.917,31.401
2015-04-22,2015,NY,30.0,Male,White,gun,Attack,Foot,-73.794,40.71
2015-04-22,2015,TX,31.0,Male,Black,gun,Attack,Foot,-97.304,32.769
2015-04-22,2015,CO,39.0,Male,Asian,gun,Attack,Not fleeing,-105.257,39.938
2015-04-23,2015,CA,26.0,Male,White,toy weapon,Attack,Not fleeing,-118.438,34.323
2015-04-23,2015,OK,51.0,Male,White,gun,Attack,Not fleeing,-95.157,34.133
2015-04-23,2015,CA,19.0,Male,Hispanic,unarmed,Other,Not fleeing,-118.174,33.781
2015-04-24,2015,OR,49.0,Male,White,gun,Attack,Not fleeing,-122.997,44.914
2015-04-24,2015,OK,63.0,Male,White,gun,Attack,Car,-94.887,36.897
2015-04-24,2015,CO,20.0,Male,Black,gun,Attack,Foot,-104.493,37.176
2015-04-25,2015,TX,25.0,Male,White,machete,Other,Not fleeing,-97.001,28.878
2015-04-25,2015,NY,24.0,Male,Black,unarmed,Attack,Foot,-73.982,40.725
2015-04-25,2015,FL,58.0,Male,White,knife,Other,Not fleeing,-81.812,28.567
2015-04-26,2015,OK,29.0,Male,White,unarmed,Attack,Not fleeing,-94.772,35.745
2015-04-26,2015,CA,76.0,Male,White,gun,Attack,Not fleeing,-119.601,36.211
2015-04-26,2015,CA,45.0,Male,White,gun,Attack,Not fleeing,-117.956,33.696
